Test date	Product name	Brand	Testing for	Result (ppb)
6/24/2016	mint	cedar garden	cadmium	none
6/24/2016	ground cumin	mccormick	cadmium	61.1
6/27/2016	aniseed powder	crown	cadmium	128
6/27/2016	curry powder	maya	cadmium	37.9
6/24/2016	lemon pepper	la flor	cadmium	none
6/24/2016	hungarian style hot paprika	pride of szeged	cadmium	35.3
6/24/2016	jaifal powder (nutmeg)	deep	cadmium	36.0
6/28/2016	chile arbol	gromex	cadmium	129
7/1/2016	hot pepper powder	primacy	cadmium	115
7/6/2016	chili powder	great value	cadmium	147
7/6/2016	paprika	great value	cadmium	68.6
7/6/2016	organic ground turmeric	great value	cadmium	none
7/6/2016	cayenne pepper	zatarains	cadmium	54.3
7/11/2016	red chilli	abido	cadmium	63.1
7/11/2016	imported paprika	avico	cadmium	46.9
7/11/2016	red pepper	avico	cadmium	95.5
7/13/2016	clasico seasoning	tajin	cadmium	60.1
7/14/2016	chili pepper	s&b	cadmium	232
7/14/2016	red pepper powder	assi	cadmium	73.0
7/14/2016	red chilli powder ex hot	deep	cadmium	96.8
7/14/2016	red paprika	abido	cadmium	219
7/14/2016	vegeta	podravka	cadmium	30.1
7/21/2016	curry powder	fresh finds	cadmium	40.8
7/25/2016	hot jamaican jerk curry	blue mountain	cadmium	25.9
7/25/2016	curry powder	marian	cadmium	82.6
7/26/2016	turmeric ground	three rivers	cadmium	97.3
7/26/2016	cummin powder	three rivers	cadmium	72.5
7/26/2016	coriander powder	three rivers	cadmium	43
7/28/2016	hot pepper	amanfopong	cadmium	108
7/29/2016	seasoning	magic tree	cadmium	none
7/28/2016	hot jamaican curry powder	blue mountain	cadmium	none
7/28/2016	jamaican curry powder	jamaican choice	cadmium	none
7/28/2016	jamaican curry powder	blue mountain	cadmium	21.8
7/28/2016	jamaican curry powder	blue mountain	cadmium	none
8/3/2016	tumeric powder	asian boy (ebq)	cadmium	155
8/3/2016	jamaican curry powder	fiwi foods	cadmium	47.0
8/8/2016	turmeric root ground	frontier	cadmium	21.0
8/8/2016	curry powder	adams fairacre	cadmium	53.3
8/8/2016	indian hot curry	the spice hunter	cadmium	141
8/8/2016	black salt powder	swad	cadmium	none
8/8/2016	madras curry powder	swad	cadmium	67.5
8/8/2016	garam masala powder	swad	cadmium	62.1
8/8/2016	turmeric powder	swad	cadmium	none
8/8/2016	javentri powder	swad	cadmium	57.4
8/8/2016	coriander powder	swad	cadmium	59.4
8/8/2016	cumin powder	swad	cadmium	89.3
8/8/2016	seasoned salt	lawry's	cadmium	22.8
8/9/2016	meat tenderizer seasoned	chefs select	cadmium	none
8/9/2016	chili powder	chefs select	cadmium	106
8/9/2016	chili powder	spiceco	cadmium	120
8/9/2016	chicken seasoning	better valu	cadmium	none
8/9/2016	chili powder ex hot	keshav	cadmium	58.4
8/9/2016	turmeric powder	keshav	cadmium	25.1
8/9/2016	turmeric powder	swad best taste	cadmium	none
8/10/2016	curry powder	spice time	cadmium	57.9
8/10/2016	seasoned salt	spice time	cadmium	none
8/10/2016	naturally pure chili	spice time	cadmium	116
8/10/2016	red cayenne pepper	western beef	cadmium	67.3
8/9/2016	turmeric powder	shad	cadmium	none
8/9/2016	chilli powder	shad	cadmium	55.3
8/9/2016	coriander powder	shad	cadmium	43.3
8/11/2016	chicken bouillon	kent	cadmium	none
8/9/2016	ginger powder	bhavani	cadmium	none
8/9/2016	turmeric powder	dragonfly	cadmium	63.4
8/9/2016	black salt rock	keshav	cadmium	none
8/9/2016	garam masai powder	keshau	cadmium	73.3
8/9/2016	curry powder	laxmi	cadmium	89.2
8/10/2016	paprika	badia	cadmium	112
8/10/2016	ground cumin	price rite	cadmium	43.5
8/11/2016	seasoned salt	spice supreme	cadmium	none
8/11/2016	hamburger seasoned salt	spice supreme	cadmium	39.9
8/11/2016	curry powder	spice supreme	cadmium	43.3
8/4/2016	shawarma spices		cadmium	96.0
8/11/2016	pure fancy paprika	eagle spice	cadmium	34.5
8/10/2016	adobo	blue mountain	cadmium	none
8/10/2016	chicken seasoning	blue mountain	cadmium	414
8/10/2016	jamaican curry powder	blue mountain	cadmium	none
8/10/2016	fish seasoning	blue mountain	cadmium	20.8
8/12/2016	cumin ground	chef's select	cadmium	71.3
8/10/2016	curry powder	javin	cadmium	78.7
8/12/2016	turmeric powder	keshav	cadmium	33.4
8/12/2016	chilli powder	swad	cadmium	98.7
8/12/2016	curry powder	mtr	cadmium	53.9
8/15/2016	turmeric	bulk foods inc.	cadmium	31.3
8/15/2016	gourmet curry powder	maier's market	cadmium	45.1
8/17/2016	cumin seeds (whole)	laxmi	cadmium	71.2
8/17/2016	chilli powder	national	cadmium	75.2
8/17/2016	madras curry powder	swad	cadmium	62.9
8/18/2016	seasoned salt	lawry's	cadmium	27.1
8/18/2016	paprika	fresh finds	cadmium	39.3
8/18/2016	hot jamaican curry powder	jamaican choice	cadmium	none
