Test date	Product name	Brand	Testing for	Result (ppb)
7/14/2016	red chilli powder ex hot	deep	arsenic	25.2
7/14/2016	red paprika	abido	arsenic	93.0
7/14/2016	vegeta	podravka	arsenic	none
7/21/2016	curry powder	fresh finds	arsenic	128
7/25/2016	hot jamaican jerk curry	blue mountain	arsenic	36.7
7/25/2016	curry powder	marian	arsenic	26.0
7/26/2016	turmeric ground	three rivers	arsenic	122
7/26/2016	cummin powder	three rivers	arsenic	124
7/26/2016	coriander powder	three rivers	arsenic	100
7/28/2016	hot pepper	amanfopong	arsenic	33.3
7/29/2016	seasoning	magic tree	arsenic	none
7/28/2016	hot jamaican curry powder	blue mountain	arsenic	none
7/28/2016	jamaican curry powder	jamaican choice	arsenic	none
7/28/2016	jamaican curry powder	blue mountain	arsenic	24.1
7/28/2016	jamaican curry powder	blue mountain	arsenic	none
8/3/2016	tumeric powder	asian boy (ebq)	arsenic	105
8/3/2016	jamaican curry powder	fiwi foods	arsenic	81.3
8/8/2016	curry powder	adams fairacre	arsenic	99.9
8/8/2016	indian hot curry	the spice hunter	arsenic	63.0
8/8/2016	black salt powder	swad	arsenic	667
8/8/2016	madras curry powder	swad	arsenic	57.1
8/8/2016	garam masala powder	swad	arsenic	66.4
8/8/2016	turmeric powder	swad	arsenic	30.6
8/8/2016	javentri powder	swad	arsenic	149
8/8/2016	coriander powder	swad	arsenic	none
8/8/2016	cumin powder	swad	arsenic	159
8/8/2016	seasoned salt	lawry's	arsenic	19.5
8/9/2016	meat tenderizer seasoned	chefs select	arsenic	none
8/9/2016	chili powder	chefs select	arsenic	78.5
8/9/2016	chili powder	spiceco	arsenic	148
8/9/2016	chicken seasoning	better valu	arsenic	24.1
8/9/2016	chili powder ex hot	keshav	arsenic	72.3
8/9/2016	turmeric powder	keshav	arsenic	35.8
8/9/2016	turmeric powder	swad best taste	arsenic	28.2
8/10/2016	curry powder	spice time	arsenic	124
8/10/2016	seasoned salt	spice time	arsenic	none
8/10/2016	naturally pure chili	spice time	arsenic	90.3
8/10/2016	red cayenne pepper	western beef	arsenic	21.1
8/9/2016	turmeric powder	shad	arsenic	29.4
8/9/2016	chilli powder	shad	arsenic	18.3
8/9/2016	coriander powder	shad	arsenic	44.8
8/11/2016	chicken bouillon	kent	arsenic	none
8/9/2016	ginger powder	bhavani	arsenic	70.2
8/9/2016	black salt rock	keshav	arsenic	695
8/9/2016	garam masai powder	keshau	arsenic	264
8/9/2016	curry powder	laxmi	arsenic	109
8/10/2016	paprika	badia	arsenic	135
8/10/2016	ground cumin	price rite	arsenic	82.2
8/11/2016	seasoned salt	spice supreme	arsenic	none
8/11/2016	hamburger seasoned salt	spice supreme	arsenic	58.9
8/11/2016	curry powder	spice supreme	arsenic	127
8/4/2016	shawarma spices		arsenic	136
8/11/2016	pure fancy paprika	eagle spice	arsenic	41.4
8/10/2016	adobo	blue mountain	arsenic	102
8/10/2016	chicken seasoning	blue mountain	arsenic	112
8/10/2016	jamaican curry powder	blue mountain	arsenic	none
8/10/2016	fish seasoning	blue mountain	arsenic	50.5
8/12/2016	cumin ground	chef's select	arsenic	156
8/10/2016	curry powder	javin	arsenic	30.8
8/12/2016	turmeric powder	keshav	arsenic	31.6
8/12/2016	chilli powder	swad	arsenic	none
8/12/2016	curry powder	mtr	arsenic	33.6
8/15/2016	turmeric	bulk foods inc.	arsenic	69.3
8/15/2016	gourmet curry powder	maier's market	arsenic	87.9
8/17/2016	cumin seeds (whole)	laxmi	arsenic	96.3
8/17/2016	chilli powder	national	arsenic	36.3
8/17/2016	madras curry powder	swad	arsenic	41.7
8/18/2016	seasoned salt	lawry's	arsenic	none
8/18/2016	paprika	fresh finds	arsenic	217
8/18/2016	hot jamaican curry powder	jamaican choice	arsenic	22.6
8/18/2016	dried licorice powder	golden lion	arsenic	228
8/18/2016	dried cinnamon powder	golden lion	arsenic	see comment
8/18/2016	tumeric	golden flower	arsenic	64.8
8/22/2016	african spices		arsenic	109
8/19/2016	curry powder	breens market	arsenic	41.1
8/19/2016	chicken rub seasoning	emeril's	arsenic	90.6
8/19/2016	curry powder	badia	arsenic	129
8/19/2016	adobo seasoning	badia	arsenic	18.7
8/23/2016	ground turmeric	mimi's products	arsenic	none
8/23/2016	turmeric powder	caribbean blue	arsenic	21.8
8/25/2016	tumeric powder	best taste brand	arsenic	659
8/29/2016	turmeric powder	trong food	arsenic	21.3
8/29/2016	fennel powder	crown	arsenic	960
8/29/2016	five spice powder	crown	arsenic	2140
8/25/2016	dried five spice powder	golden lion	arsenic	726
8/29/2016	curry powder	maya	arsenic	183
8/29/2016	chilli powder	swad	arsenic	26.8
9/8/2016	fish curry masala	mdh	arsenic	39.4
9/8/2016	liver curry spice mix	tooba	arsenic	164
9/12/2016	turmeric powder	radhuni	arsenic	67.1
9/12/2016	curry powder	radhuni	arsenic	115
9/12/2016	chilli powder	radhuni	arsenic	18.9
9/12/2016	javanti powder (mace)	shad usa	arsenic	58.3
9/12/2016	yellow mustard powder	shad	arsenic	43.8
9/12/2016	turmeric powder	radhuni	arsenic	61.5
9/13/2016	african red hot pepper	adom	arsenic	none
